COUNTY,TX_SIGNED_HIGHWAY_RDBD_ID,TX_LENGTH_TOTAL,SEGMENT_COUNT,TX_CONDITION_SCORE,TX_DISTRESS_SCORE,TX_RIDE_SCORE,TX_AADT_CURRENT,TX_MAINTENANCE_COST_AMT
Fort Bend,FM2234 K,27.46,65,88.61,96.86,3.28,26684.36,434.28
Fort Bend,FM2234 L,19.4,46,89.72,97.51,3.2,8929.33,395.35
Fort Bend,FM2234 R,19.39,46,94.93,96.72,3.49,8928.68,395.79
Fort Bend,FM2759 K,7.28,18,82.16,99.84,3.2,19052.14,3281.37
Fort Bend,FM2759 L,2.34,4,74.46,100.0,2.75,10559.5,13.79
Fort Bend,FM2759 R,3.53,8,71.72,100.0,2.7,10559.5,12.2
Fort Bend,FM3345 L,22.76,48,82.28,92.1,3.04,11942.4,496.89
Fort Bend,FM3345 R,22.75,48,92.28,96.7,3.2,11955.17,493.58
Fort Bend,FS1464 K,0.12,5,5.2,100.0,0.22,15.4,0.0
Fort Bend,IH0010 A,7.47,15,81.35,94.87,3.14,14192.96,2655.95
Fort Bend,IH0010 L,89.7,211,89.53,94.56,3.33,29510.28,1140.31
Fort Bend,IH0010 R,89.94,211,93.08,93.08,3.92,29550.58,1145.65
Fort Bend,IH0010 X,8.68,21,93.43,96.26,3.38,17031.26,2913.02
Fort Bend,IH0069 A,139.23,276,71.1,83.94,2.97,19420.12,4.61
Fort Bend,IH0069 L,185.81,368,88.11,90.89,3.56,46786.64,2.18
Fort Bend,IH0069 R,187.96,373,90.68,93.54,3.56,47083.21,2.72
Fort Bend,IH0069 X,141.89,276,69.64,81.97,2.99,17121.5,2.47
Fort Bend,SH0006 A,27.56,48,80.99,93.58,2.81,5670.66,1490.53
Fort Bend,SH0006 K,5.73,14,95.6,100.0,3.24,19912.89,4319.99
Fort Bend,SH0006 L,188.59,372,79.03,85.0,3.25,23260.86,2155.59
Fort Bend,SH0006 R,188.68,376,89.34,93.88,3.38,23230.43,2154.75
Fort Bend,SH0006 X,25.24,43,75.04,94.19,2.61,4585.16,1523.59
Fort Bend,SH0036 K,59.93,122,66.23,79.6,3.04,17657.45,3400.29
Fort Bend,SH0099 A,27.02,71,70.71,77.91,2.95,6518.13,11.55
Fort Bend,SH0099 L,376.79,757,91.51,93.97,3.61,14249.54,662.43
Fort Bend,SH0099 R,373.41,750,91.07,94.23,3.6,14315.2,668.32
Fort Bend,SH0099 X,19.92,65,62.45,65.99,3.15,7994.46,9.93
Fort Bend,SL0008 X,8.19,19,95.22,100.0,3.32,14311.41,9471.85
Fort Bend,SL0540 K,5.4,17,93.34,100.0,3.69,1813.88,171.86
Fort Bend,SL0541 K,0.79,2,100.0,100.0,3.77,475.5,0.0
Fort Bend,SS0010 K,32.91,70,93.9,98.11,3.47,3042.33,54.12
Fort Bend,SS0010 L,17.32,34,92.27,92.37,3.63,1768.28,0.0
Fort Bend,SS0010 R,17.28,33,95.78,95.78,3.38,1767.92,0.0
Fort Bend,SS0529 K,3.51,29,55.58,100.0,2.35,6623.1,3.48
Fort Bend,UA0090 A,7.32,23,83.95,86.62,2.68,4355.44,552.52
Fort Bend,UA0090 K,6.0,12,79.75,99.83,2.91,10359.92,1211.75
Fort Bend,UA0090 L,185.45,387,92.3,96.01,3.44,22227.65,377.71
Fort Bend,UA0090 R,187.63,390,88.44,96.07,3.24,22051.28,384.57
Fort Bend,UA0090 X,7.52,23,93.2,95.18,3.38,1239.42,544.92
Fort Bend,US0059 A,0.2,2,100.0,100.0,3.6,99.0,0.0
Fort Bend,US0059 L,112.93,231,90.33,91.53,3.77,14370.8,428.63
Fort Bend,US0059 R,142.6,295,87.13,90.03,3.55,14232.8,615.55
Fort Bend,US0059 X,11.51,31,91.29,91.5,3.41,5972.44,306.65
Franklin,SH0037 K,0.54,2,100.0,100.0,4.75,2146.0,409.5
Freestone,FM0488 K,1.5,3,93.67,93.67,3.52,2048.67,573.0
Freestone,IH0045 L,1.05,2,100.0,100.0,4.56,17617.32,1067.72
Freestone,IH0045 R,0.98,2,90.5,90.5,3.85,17648.57,1085.92
Freestone,IH0045 X,27.49,55,76.22,81.66,2.5,567.58,1027.95
Freestone,SH0075 K,0.13,1,0.0,0.0,0.0,990.0,0.0
Freestone,SH0179 K,0.16,1,13.0,85.0,1.05,1788.0,31.0
Freestone,US0079 R,0.02,2,1.0,94.38,0.49,4958.0,0.0
Freestone,US0287 K,2.52,7,87.04,87.04,3.55,3407.68,3960.82
Gaines,US0062 K,1.07,2,97.2,100.0,3.33,15370.0,539.04
Galveston,FM0188 K,0.35,4,26.0,99.25,1.3,1335.75,0.0
Galveston,FM0270 K,27.0,66,98.41,99.59,3.67,28776.2,2755.9
Galveston,FM0517 K,131.14,289,81.39,91.98,3.08,17881.97,2081.07
Galveston,FM0517 L,4.46,15,32.13,93.81,1.92,10259.08,905.66
Galveston,FM0517 R,4.7,15,35.63,82.41,2.14,10301.2,908.81
Galveston,FM0518 K,145.55,300,90.62,98.72,3.27,21344.22,2042.27
Galveston,FM0518 L,84.74,176,79.41,96.63,2.88,8736.96,2191.34
Galveston,FM0518 R,89.57,189,76.21,92.69,2.93,8799.05,2157.97
Galveston,FM0528 K,138.52,293,93.41,97.0,3.54,21012.4,505.67
Galveston,FM0646 K,63.3,133,95.72,98.35,3.6,15477.45,3422.35
Galveston,FM0646 L,26.8,58,88.23,99.18,3.28,10800.14,1704.87
Galveston,FM0646 R,28.9,63,80.99,96.51,3.29,10703.6,1594.34
Galveston,FM1764 A,14.9,31,75.42,81.52,3.25,3163.68,838.77
Galveston,FM1764 K,103.65,218,91.98,97.89,3.23,13961.63,10139.51
Galveston,FM1764 L,112.38,252,74.44,95.88,2.92,13101.09,2392.93
Galveston,FM1764 R,110.21,247,68.66,95.03,2.79,13169.57,2394.84
Galveston,FM1764 X,32.7,66,86.77,90.24,3.65,5344.02,2544.25
Galveston,FM1765 K,0.5,1,88.0,100.0,2.97,8396.0,0.0
Galveston,FM2004 K,1.8,9,92.56,96.11,3.41,3781.22,1443.11
Galveston,FM2094 K,0.67,5,59.6,90.2,2.63,29863.8,83.6
Galveston,FM2094 L,99.76,214,82.6,97.75,3.02,9763.79,929.94
Galveston,FM2094 R,101.3,216,92.01,95.22,3.28,9752.76,915.68
Galveston,FM2351 K,1.4,3,100.0,100.0,3.62,9978.57,0.0
Galveston,FM2351 L,18.91,35,71.76,86.88,2.89,11411.75,2661.06
Galveston,FM2351 R,18.73,33,72.76,95.54,2.68,11414.75,2684.73
Galveston,IH0045 A,172.69,373,72.1,80.9,3.1,5567.51,2145.16
Galveston,IH0045 L,480.75,1037,69.41,76.7,3.4,36415.69,1559.99
Galveston,IH0045 R,451.54,957,77.51,81.46,3.56,36775.7,1602.36
Galveston,IH0045 X,167.22,355,74.83,82.6,3.15,5040.74,1930.34
Galveston,SH0003 K,88.31,190,84.09,97.28,3.05,12653.92,2377.92
Galveston,SH0003 L,73.19,149,99.34,99.34,3.97,4167.8,1817.78
Galveston,SH0003 R,73.16,149,94.6,94.86,3.82,4167.62,1817.05
Galveston,SH0096 L,49.16,109,95.0,97.31,3.49,9827.38,809.62
Galveston,SH0096 R,49.16,109,91.6,93.71,3.49,9826.84,809.71
Galveston,SH0124 K,2.77,7,30.87,43.32,2.4,3361.02,235.74
Galveston,SH0146 K,18.48,47,81.2,93.31,3.13,35102.85,1464.12
Galveston,SH0146 L,47.01,96,70.25,80.27,3.2,7704.61,683.17
Galveston,SH0146 R,31.76,68,81.87,87.17,3.4,7881.48,1034.56
Galveston,SH0275 K,5.02,11,62.45,80.06,2.81,14266.59,5314.78
Galveston,SH0275 L,5.33,15,98.05,100.0,2.73,1987.82,5833.8
Galveston,SH0275 R,5.3,15,98.27,99.1,2.83,1988.16,5779.58
Galveston,SL0197 K,40.62,84,72.25,99.5,2.74,12088.87,8090.87
Garza,FM2008 K,2.5,5,76.0,88.8,1.95,19.0,19.0
Garza,SS0575 K,0.05,3,13.0,97.67,0.6,2589.0,781.0
Garza,US0084 K,28.7,67,79.62,79.62,3.97,12862.86,1927.89
Glasscock,SH0137 K,0.5,1,55.0,100.0,1.94,1825.0,0.0
Goliad,US0059 K,476.82,959,90.64,92.15,3.64,4275.46,2837.99
Gray,BI0040HL,6.69,20,69.85,90.78,2.25,199.97,1600.6
Gray,BI0040HR,13.07,38,74.72,79.37,2.68,190.45,887.04
Gray,FM2473 K,2.0,4,83.5,86.25,2.15,112.75,11.0
Gray,IH0040 L,361.69,855,75.81,79.97,3.32,6584.59,1531.75
Gray,IH0040 R,537.56,1299,74.59,80.71,3.24,6586.28,1576.49
Gray,RM1321 K,2.5,5,100.0,100.0,3.56,136.6,10.6
Gray,SL0271 K,0.55,6,78.87,99.37,1.99,71.13,0.63
Gray,US0060 K,2.0,4,100.0,100.0,3.72,6846.96,142.43
Grayson,FM0120 K,32.73,66,60.04,94.28,2.67,13500.12,383.19
Grayson,FM0121 K,6.03,12,99.34,99.34,3.86,7654.0,8314.08
Grayson,FM0121 L,10.19,19,96.68,98.12,3.12,3537.91,2090.99
Grayson,FM0121 R,10.2,19,97.27,97.55,3.27,3538.56,2096.1
Grayson,FM0151 K,3.5,7,75.57,81.57,2.76,1583.0,5497.29
Grayson,FM0691 K,9.93,26,92.3,96.54,3.42,6176.91,2024.21
Grayson,FM0691 L,3.54,12,99.5,99.5,3.49,3295.18,1615.65
Grayson,FM0691 R,3.53,12,91.54,92.03,3.57,3295.45,1610.55
Grayson,FM1417 K,4.01,8,85.68,100.0,3.11,12564.2,711.55
Grayson,FM3356 K,0.04,2,1.0,98.0,0.1,1378.0,1.5
Grayson,SH0091 L,7.48,15,83.38,86.9,3.43,6933.31,264.15
Grayson,SH0091 R,4.97,8,83.8,83.8,3.99,7724.75,330.65
Grayson,SS0503 R,0.5,1,59.0,86.0,2.66,6095.0,1003.0
Grayson,US0069 K,12.5,25,67.16,96.44,2.68,6796.64,4012.76
Grayson,US0069 L,45.35,102,52.76,63.0,3.02,15692.05,3357.01
Grayson,US0069 R,49.06,109,42.51,56.68,2.77,14433.19,3349.0
Grayson,US0069 X,3.29,8,100.0,100.0,3.5,1655.38,2455.25
Grayson,US0075 A,8.49,17,69.76,90.76,2.67,5161.76,5220.01
Grayson,US0075 L,317.52,627,92.94,94.28,3.75,18749.24,3716.76
Grayson,US0075 R,327.45,650,81.05,83.51,3.52,18867.43,3734.29
Grayson,US0075 X,8.5,17,79.06,89.59,2.6,2336.52,1962.28
Grayson,US0082 A,4.02,8,82.09,87.56,3.17,1940.97,1359.22
Grayson,US0082 L,104.14,230,72.42,87.8,2.93,8835.83,1662.28
Grayson,US0082 R,97.82,219,70.18,89.34,2.83,9190.25,1735.37
Grayson,US0082 X,4.06,8,86.64,95.7,3.06,1043.36,1841.95
Gregg,FM2087 K,0.26,4,65.0,100.0,2.07,2924.5,0.0
Gregg,FM2767 K,1.0,2,0.0,0.0,2.75,930.0,686.5
Gregg,IH0020 L,65.29,134,83.15,88.63,3.61,15805.8,2408.56
Gregg,IH0020 R,63.01,129,66.17,71.25,3.7,15595.82,2524.67
Gregg,SH0322 K,0.47,7,81.3,97.2,2.91,24067.25,160.74
Gregg,SL0281 A,0.64,4,100.0,100.0,2.67,99.0,3271.75
Gregg,SL0281 K,3.12,7,99.84,100.0,3.86,15451.53,841.43
Gregg,SL0281 L,3.32,11,98.09,98.46,3.89,8787.21,8699.92
Gregg,SL0281 R,3.25,8,94.74,95.8,3.72,9102.75,14468.74
Gregg,SL0281 X,0.66,4,75.0,100.0,3.0,99.0,3395.0
Gregg,US0259 K,2.2,3,90.33,95.0,3.21,9321.67,19247.0
Gregg,US0259 L,2.61,6,91.75,91.75,3.83,3802.32,157.31
Grimes,FM1774 K,0.0,1,19.0,100.0,1.6,5908.0,0.0
Grimes,FM1774 L,0.06,2,87.0,100.0,2.95,4477.5,7.5
Grimes,FM1774 R,0.05,2,31.0,100.0,1.9,4477.5,6.5
Grimes,SH0006 A,0.87,3,65.0,96.0,3.48,104.0,143.67
Grimes,SH0249 K,10.08,22,100.0,100.0,4.31,5788.0,0.0
Grimes,SH0249 L,4.74,9,100.0,100.0,4.14,2018.06,0.0
Grimes,SH0249 R,4.75,9,100.0,100.0,4.09,2017.61,0.0
Guadalupe,IH0010 A,6.15,19,51.01,63.73,2.6,1366.82,1769.68
Guadalupe,IH0035 A,0.12,1,20.0,91.0,1.7,19571.0,21.0
Guadalupe,IH0035 L,0.37,2,59.36,59.36,3.76,55099.69,169.44
Guadalupe,IH0035 R,0.15,1,0.0,0.0,3.07,66763.0,284.0
Hale,BI0027UK,6.24,8,82.75,82.75,2.95,2192.75,460.25
Hale,BI0027UL,29.58,64,70.09,79.74,3.09,1552.2,90.43
Hale,BI0027UR,29.28,62,72.47,82.1,3.15,1436.57,86.98
Hale,IH0027 A,0.06,4,10.75,94.75,0.55,3366.5,20.75
Hale,IH0027 L,1092.19,2245,89.85,90.2,3.81,5577.43,507.82
Hale,IH0027 R,1092.03,2245,89.2,89.55,3.89,5582.72,508.42
Hall,FM1547 K,7.71,13,71.37,100.0,2.69,389.43,2834.12
Hall,US0287 K,15.17,33,79.85,88.42,3.22,11141.1,2657.52
Hall,US0287 R,2.6,5,57.47,57.47,4.07,5480.12,586.0
Hardeman,US0287 K,27.78,54,79.51,92.0,3.48,13013.6,1641.45
Hardeman,US0287 L,0.54,1,100.0,100.0,5.0,5346.0,3597.0
Hardeman,US0287 R,0.55,1,98.0,98.0,4.28,5346.0,3643.0
Hardin,SH0105 K,9.73,20,93.78,99.02,3.87,7804.35,2389.76
Hardin,SH0327 L,43.49,89,83.94,93.13,3.28,4600.75,972.62
Hardin,SH0327 R,31.42,63,70.28,82.17,2.89,4619.81,907.33
Hardin,US0069 L,18.0,36,72.83,96.74,3.06,18643.19,893.32
Hardin,US0069 R,13.48,27,90.13,98.58,3.56,16991.62,851.75
Hardin,US0096 L,84.68,168,89.64,90.25,3.54,7715.0,2390.11
Hardin,US0096 R,12.22,26,81.33,88.09,3.46,8903.95,708.03
Hardin,US0096 X,2.0,4,100.0,100.0,3.77,1276.75,2593.75
Harris,BF1960AK,0.9,8,58.0,100.0,2.48,11571.5,724.25
Harris,BS0146DK,0.5,5,55.0,100.0,2.36,5056.2,2445.8
Harris,BS0146EL,19.28,60,90.82,94.91,3.57,8790.43,939.64
Harris,BS0146ER,18.48,57,66.26,94.62,2.68,8749.79,1175.78
Harris,BS0249BK,8.17,15,73.13,91.12,2.71,14103.35,2989.8
Harris,BS0249BL,3.92,11,49.94,60.15,2.87,10889.19,812.71
Harris,BS0249BR,3.51,9,92.19,94.58,3.2,10912.05,837.67
Harris,BU0090UK,98.48,39,52.72,93.08,2.06,9560.88,597.98
Harris,FM0270 K,18.49,39,95.87,98.08,3.28,32957.64,25.99
Harris,FM0521 K,25.63,57,90.65,96.83,3.32,19486.69,1905.88
Harris,FM0521 L,41.81,97,69.39,85.61,3.0,10686.2,342.98
Harris,FM0521 R,6.3,15,93.6,100.0,3.37,10443.08,102.71
Harris,FM0525 K,163.52,360,82.39,92.6,3.07,20192.08,601.0
Harris,FM0525 L,1.56,9,21.98,93.36,1.65,8918.91,151.1
Harris,FM0525 R,1.57,9,21.25,100.0,1.6,8919.06,151.59
Harris,FM0526 L,3.09,20,53.58,90.5,2.52,9104.85,714.65
Harris,FM0526 R,3.39,21,67.18,99.94,2.59,9105.21,855.89
Harris,FM0528 K,74.82,165,95.92,99.46,3.69,31627.56,29.88
Harris,FM0528 L,1.93,8,99.92,100.0,3.56,18388.1,0.0
Harris,FM0528 R,2.22,9,87.71,100.0,3.05,18568.42,0.0
Harris,FM0529 K,125.17,256,93.8,97.36,3.35,31015.97,676.21
Harris,FM0529 L,54.29,130,89.32,96.77,3.19,18336.32,273.07
Harris,FM0529 R,54.33,131,84.92,97.37,3.09,18345.11,265.61
Harris,FM0865 K,3.75,8,92.2,92.29,3.71,21098.69,7.75
Harris,FM0865 L,16.57,45,93.55,99.09,3.41,9577.23,568.31
Harris,FM0865 R,15.91,40,88.74,94.12,3.28,9546.77,591.81
Harris,FM1092 K,13.93,58,31.03,54.49,2.12,33151.26,7936.86
Harris,FM1093 L,88.1,204,67.89,69.35,3.42,12171.9,2260.57
Harris,FM1093 R,88.14,202,72.25,78.81,3.14,12191.21,2254.79
Harris,FM1876 L,5.22,24,85.51,96.17,3.1,6711.36,69.92
Harris,FM1876 R,6.64,27,99.06,99.36,3.64,6840.55,373.81
Harris,FM1942 K,0.78,12,53.06,95.06,2.41,19376.0,0.58
Harris,FM1959 K,3.91,10,66.61,100.0,2.58,28123.23,139.94
Harris,FM1959 L,0.82,2,73.5,100.0,2.74,14351.5,3573.0
Harris,FM1959 R,0.82,2,78.5,100.0,2.82,14351.5,3581.5
Harris,FM1960 A,16.34,48,59.14,93.56,2.51,16609.68,533.46
Harris,FM1960 K,329.83,712,81.97,87.13,3.33,41966.02,1481.21
Harris,FM1960 L,101.67,227,73.07,95.67,2.82,22768.74,469.66
Harris,FM1960 R,99.99,223,83.82,95.36,3.08,22677.7,470.33
Harris,FM1960 X,16.82,55,66.18,89.53,2.56,17214.17,549.56
Harris,FM2100 A,2.98,9,54.2,93.71,1.89,1327.18,308.55
Harris,FM2100 K,30.17,62,76.27,98.76,3.09,19952.69,586.26
Harris,FM2100 X,2.9,9,25.52,87.26,1.35,1416.69,299.39
Harris,FM2351 L,84.88,189,93.64,95.94,3.41,13155.35,944.51
Harris,FM2351 R,84.81,189,89.18,97.52,3.19,13156.66,945.18
Harris,FM2920 K,4.55,18,88.75,98.64,3.37,42359.51,366.07
Harris,FM2978 K,17.08,46,90.83,91.71,3.57,19635.73,990.13
Harris,FM2978 L,9.53,29,89.7,99.16,3.32,10169.14,441.83
Harris,FM2978 R,9.53,29,83.5,99.0,3.22,10168.35,439.49
Harris,FS0525 K,4.65,15,66.01,96.83,2.64,17000.59,0.0
Harris,IH0010 A,575.08,1200,71.59,89.07,2.8,18465.16,1754.29
Harris,IH0010 L,1117.66,2444,85.93,90.65,3.49,81538.24,2528.46
Harris,IH0010 R,1109.3,2430,87.16,90.58,3.52,81546.95,2510.24
Harris,IH0010 X,586.57,1250,75.12,87.09,3.01,17833.46,1818.3
Harris,IH0045 A,480.62,1002,76.51,89.4,3.08,16368.74,1885.58
Harris,IH0045 L,1025.33,2140,86.57,93.32,3.49,101113.34,1855.89
Harris,IH0045 R,1016.64,2123,87.14,93.75,3.46,101562.89,1825.0
Harris,IH0045 X,463.91,964,82.74,93.4,3.12,17853.42,1742.72
Harris,IH0069 A,242.42,489,64.48,90.34,2.51,14414.48,1509.51
Harris,IH0069 L,251.32,510,89.78,95.17,3.51,94436.57,1371.07
Harris,IH0069 R,249.47,507,93.1,95.15,3.64,94163.32,1326.32
Harris,IH0069 X,233.31,469,58.1,87.2,2.45,13863.32,1374.31
Harris,IH0610 A,633.5,1379,39.76,65.33,2.34,10386.3,2724.24
Harris,IH0610 L,1044.89,2469,79.34,84.78,3.34,83077.49,2436.07
Harris,IH0610 R,1039.73,2450,77.5,83.33,3.35,83025.8,2442.94
Harris,IH0610 X,633.09,1444,42.82,66.97,2.34,10783.55,2743.46
Harris,SH0003 L,22.1,61,86.75,94.93,3.1,8995.42,675.88
Harris,SH0003 R,21.6,60,88.13,94.68,3.11,8959.29,481.19
Harris,SH0006 A,17.1,46,62.52,82.99,2.62,13822.01,5973.21
Harris,SH0006 K,104.9,213,66.18,78.14,3.02,44613.52,4390.19
Harris,SH0006 L,42.87,91,86.56,95.53,3.63,22185.41,3598.46
Harris,SH0006 R,43.39,92,89.24,93.88,3.93,22241.21,3535.66
Harris,SH0006 X,15.23,36,55.12,89.29,2.4,12992.09,6489.21
Harris,SH0035 A,0.89,7,76.13,100.0,2.12,804.79,67.53
Harris,SH0035 K,73.01,163,57.2,79.3,2.68,26840.19,5557.8
Harris,SH0035 L,12.12,43,74.49,85.18,2.94,13752.66,1568.01
Harris,SH0035 R,15.1,48,73.89,88.64,2.95,14284.81,2152.66
Harris,SH0099 A,64.59,135,93.27,97.84,3.41,11104.85,393.17
Harris,SH0099 K,3.4,10,89.39,94.12,3.21,13196.64,367.03
Harris,SH0099 L,365.87,707,91.23,97.51,3.7,21213.93,492.66
Harris,SH0099 R,353.23,682,95.55,97.38,3.91,21347.93,516.91
Harris,SH0099 X,57.23,118,90.51,96.63,3.31,7952.05,524.79
Harris,SH0146 A,90.94,195,66.96,84.84,2.82,2944.86,2866.89
Harris,SH0146 K,41.08,85,72.76,86.71,3.07,37211.16,3514.54
Harris,SH0146 L,234.98,514,78.67,86.82,3.19,26525.06,2142.64
Harris,SH0146 R,236.08,507,81.54,88.53,3.2,26765.92,2218.44
Harris,SH0146 X,82.25,170,73.23,86.86,2.85,2893.21,3053.67
Harris,SH0225 A,173.47,367,72.51,78.93,3.22,4735.75,4478.76
Harris,SH0225 L,324.33,699,65.69,78.29,3.08,37688.22,3947.75
Harris,SH0225 R,324.28,697,69.22,80.7,3.09,38394.55,3985.13
Harris,SH0225 X,181.19,376,59.11,68.84,3.08,5313.59,4739.49
Harris,SH0249 A,164.81,338,87.69,94.14,3.29,16486.75,533.57
Harris,SH0249 K,175.09,390,95.46,97.48,3.61,42481.27,919.31
Harris,SH0249 L,217.88,459,96.33,98.59,3.68,32043.23,692.84
Harris,SH0249 R,219.44,463,97.78,99.17,3.74,31860.66,690.53
Harris,SH0249 X,167.9,348,86.67,96.6,3.07,17804.96,513.09
Harris,SH0288 A,93.65,208,55.37,74.23,2.74,8003.53,1482.18
Harris,SH0288 L,222.26,466,76.04,89.05,3.05,62978.29,1394.71
Harris,SH0288 R,224.68,474,81.34,91.85,3.12,63114.86,1396.9
Harris,SH0288 X,78.51,188,51.1,74.04,2.59,8426.62,1395.84
Harris,SHNASA A,5.89,14,47.52,95.36,2.19,8085.15,541.44
Harris,SHNASA K,82.14,170,67.2,90.49,2.75,22337.21,486.79
Harris,SHNASA L,55.84,127,95.31,99.19,3.44,18854.59,442.4
Harris,SHNASA R,55.87,127,92.65,98.37,3.29,18852.93,442.95
Harris,SHNASA X,5.98,14,61.28,95.65,2.43,9477.06,553.77
Harris,SL0008 A,989.93,2104,83.19,93.92,3.11,18757.81,1910.43
Harris,SL0008 L,61.4,121,93.24,94.22,3.76,54463.21,1900.74
Harris,SL0008 R,61.31,119,90.21,91.62,3.82,54038.68,1837.88
Harris,SL0008 X,1008.49,2154,84.89,93.64,3.2,18610.97,1775.57
Harris,SL0494 K,1.96,10,55.19,100.0,2.15,10121.59,0.0
Harris,SL0494 L,3.51,10,76.37,98.06,2.81,5144.46,775.63
Harris,SL0494 R,3.27,9,58.77,89.49,2.58,5138.96,832.01
Harris,SS0005 A,14.59,26,68.97,81.85,2.74,4108.77,548.48
Harris,SS0005 L,57.79,121,65.93,96.51,2.61,15729.87,201.85
Harris,SS0005 R,60.9,127,57.91,94.77,2.46,15731.25,244.68
Harris,SS0005 X,14.76,32,88.08,98.63,2.81,4679.36,320.17
Harris,SS0261 L,116.61,304,82.08,94.38,2.97,14421.16,19.35
Harris,SS0261 R,112.15,278,73.34,85.71,2.95,14426.29,20.3
Harris,SS0330 A,68.95,144,92.04,95.93,3.3,5703.5,936.67
Harris,SS0330 L,87.56,175,98.04,99.53,3.62,17745.93,948.28
Harris,SS0330 R,91.79,192,94.87,97.57,3.58,17812.88,969.53
Harris,SS0330 X,73.12,151,86.55,94.49,3.14,5411.49,966.88
Harris,SS0527 A,6.09,21,39.74,88.54,1.93,9281.34,443.35
Harris,SS0527 L,22.02,65,61.0,94.53,2.18,30360.2,638.39
Harris,SS0527 R,22.64,67,48.02,90.17,1.95,30497.47,605.04
Harris,SS0527 X,7.71,24,36.46,82.66,1.71,3472.24,609.28
Harris,SS0548 L,32.06,71,64.82,95.12,2.61,29643.63,29.13
Harris,SS0548 R,31.68,66,63.84,93.72,2.63,29382.95,27.46
Harris,UA0090 A,41.23,107,74.9,94.13,2.58,4051.26,1230.0
Harris,UA0090 K,4.31,12,22.58,92.55,1.62,12157.98,240.6
Harris,UA0090 L,184.98,391,72.98,93.06,2.87,28341.43,549.2
Harris,UA0090 R,193.17,414,72.27,95.42,2.81,27971.41,560.62
Harris,UA0090 X,32.43,89,84.75,95.13,2.95,5084.38,1349.24
Harris,US0059 A,109.75,254,35.75,68.24,2.01,3442.4,3194.26
Harris,US0059 L,210.91,453,76.1,87.57,3.03,107161.18,2617.84
Harris,US0059 R,211.61,452,76.55,88.89,3.01,107418.92,2661.53
Harris,US0059 X,99.64,223,46.83,69.32,2.18,3166.37,3155.01
Harris,US0090 A,72.63,169,90.49,94.29,3.32,5084.0,882.22
Harris,US0090 K,1.5,4,64.25,93.25,2.49,11595.75,763.75
Harris,US0090 L,282.29,625,89.83,91.98,3.63,14352.56,833.87
Harris,US0090 R,468.08,1019,77.91,83.85,3.37,11795.37,847.82
Harris,US0090 X,51.64,110,85.87,94.85,3.11,3938.76,1037.13
Harris,US0290 A,295.36,640,80.2,92.91,3.0,13750.39,865.7
Harris,US0290 L,665.25,1368,88.58,93.3,3.68,55388.25,1224.24
Harris,US0290 R,675.43,1388,87.42,92.54,3.68,55295.28,1275.35
Harris,US0290 X,365.98,772,77.77,91.06,3.04,15433.74,782.11
Harrison,FM0450 K,1.53,3,91.59,100.0,3.24,3275.68,3579.75
Harrison,SH0043 K,3.06,11,99.98,100.0,4.26,10960.72,13331.38
Harrison,SL0281 L,2.5,5,98.8,98.8,3.68,8962.8,161.6
Harrison,SL0281 R,3.0,6,97.17,97.17,3.95,9500.0,492.33
Harrison,US0059 K,10.48,23,95.99,97.89,3.83,21368.92,4163.71
Harrison,US0080 K,2.87,6,100.0,100.0,4.51,16544.83,3831.67
Hartley,US0087 K,6.98,16,99.86,100.0,3.89,11902.43,2072.41
Hays,IH0035 R,0.5,1,80.0,100.0,2.84,80198.0,338.0
Hays,RM0012 K,1.48,2,45.25,51.42,2.97,11934.81,57595.21
Hays,SL0082 K,1.55,2,65.0,98.0,2.63,39180.0,0.0
Hemphill,US0060 K,10.0,20,63.6,82.35,2.99,5909.05,1986.4
Henderson,BU0175GK,0.85,8,73.95,99.4,2.77,6336.73,110.47
Henderson,FM0085 K,0.5,1,86.0,86.0,3.3,2554.0,29122.0
Henderson,FM0315 K,1.37,3,63.58,63.58,3.61,3614.09,1204.55
Henderson,SH0031 K,10.3,30,87.51,93.56,3.27,11867.1,4856.89
Henderson,SH0031 L,0.29,3,100.0,100.0,4.2,11004.91,420.35
Henderson,SH0031 R,0.38,1,94.0,100.0,3.07,3694.0,11095.0
Henderson,SH0155 K,0.76,1,74.0,74.0,3.35,12885.0,1943.0
Henderson,SH0198 K,1.0,2,0.0,0.0,2.59,3891.0,268.0
Henderson,SH0198 L,1.22,2,100.0,100.0,3.54,4266.17,20.31
Henderson,SH0198 R,2.44,4,46.17,50.0,3.36,4542.36,215.64
Henderson,SH0334 K,4.29,10,72.94,77.83,3.36,18881.32,757.84
Henderson,SL0007 K,0.7,1,84.0,84.0,4.17,4328.0,0.0
Henderson,US0175 A,0.9,4,100.0,100.0,2.76,99.0,1341.49
Henderson,US0175 K,84.68,187,96.86,98.19,3.72,12859.65,2696.39
Henderson,US0175 L,2.09,5,94.01,94.01,4.2,5023.59,5809.6
Henderson,US0175 R,3.09,7,93.84,93.84,4.44,5200.32,5293.85
Hidalgo,BU0281WL,0.35,1,68.0,100.0,2.65,9050.0,0.0
Hidalgo,FM0490 K,0.1,1,5.0,41.0,0.9,1474.0,6113.0
Hidalgo,FM1015 K,0.82,3,26.71,90.53,1.88,22349.23,1147.59
Hidalgo,FM1016 K,1.35,19,18.55,95.96,0.87,11298.63,43.53
Hidalgo,FM1925 K,1.4,7,22.36,98.02,1.66,22151.4,1435.91
